track_id,artist,album,track,album_track_seq,track_release_date
1INWPr855fwWdAOeecbu0W,Chubby Checker,It's Pony Time/Let's Twist Again,Let's Twist Again,19,1961-01-01
2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,Berry Is On Top,Johnny B. Goode,6,1959-07-01
3AgiRs3oxc2dFh0CPUHXJs,Cliff Richard,Together With Cliff Richard,Mistletoe and Wine,4,1991-11-18
39shmbIHICJ2Wxnk1fPSdz,The Clash,Combat Rock (Remastered),Should I Stay or Should I Go - Remastered,3,1982
75JFxkI2RXiU7L9VXzMkle,Coldplay,A Rush of Blood to the Head,The Scientist,4,2002-08-08
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,3,2008-05-12
6emdJW80SbDBMuHci8PJJn,Collective Soul,"Hints, Allegations & Things Left Unsaid",Shine,1,1994-03-22
6vmAgl2y9MpoZKrVUXrPe5,Conway Twitty,Hello Darlin',Hello Darlin',11,1970-03-23
5DiXcVovI0FcY2s0icWWUu,Counting Crows,August And Everything After,Mr. Jones,3,1993-01-01
2IZZqH4K02UIYg5EohpNHF,The Cranberries,No Need To Argue,Zombie,4,1994-10-03
3Xls4cNOwy01dtrNXb1inG,Cream,Wheels Of Fire,White Room,1,1968-07-01
4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,Willy And The Poor Boys,Fortunate Son,6,1969-11-02
4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,Willy And The Poor Boys,Fortunate Son,6,1969-11-02
6qDmJKmYAluYGkRhDBcbrq,Cromagnon,Back to the Caves,Back to the Caves,1,2019-12-31
2hitsKa8SthKhRJBXUHbIv,"Crosby, Stills, Nash & Young",Deja Vu,Our House,7,1970-03-11
6ZxrUCaynLgKSUudACOTwj,Crossfade,Crossfade,Cold,2,2004-04-13
6fIZxVeVNdjeZjX2Q1YAaA,The Cult,Love (Expanded Edition),She Sells Sanctuary (2009 Re-master),9,1985
2wSAWEYUHkt92X4SBAPqZE,Culture Club,Colour By Numbers,Karma Chameleon - Remastered,1,1983-10-01
263aNAQCeFSWipk896byo6,The Cure,Wish,Friday I'm in Love,7,1992-04-21
1oTHteQbmJw15rPxPVXUTv,Cypress Hill,Black Sunday,Insane in the Brain,3,1993-07-20
5t5rCnsgRBtcKqTB7SbD1Q,Damn Yankees,Damn Yankees,High Enough,4,1990
3O4s2m47MFhnGqmpkjoKYk,Dan Fogelberg,Love Songs,Leader of the Band,5,1979
2R5uY1gbIKzGB1yAOH067s,Daughtry,Daughtry (Deluxe Edition),Over You,4,2006
2w8oMeJjXn1KTnU2fr9eFB,The Dave Clark Five,Glad All Over (2019 - Remaster),Glad All Over - 2019 - Remaster,1,1964-07-06
7Jh1bpe76CNTCgdgAdBw4Z,David Bowie,"""Heroes"" (2017 Remastered Version)",Heroes - 2017 Remaster,3,1977
